State School ID,State District ID,School Name,District,County Name*,Street Address,City,State,ZIP,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
AL-800-0010,AL-800,Acceleration Day and Evening Academy,Acceleration Day and Evening Academy,Mobile County,605 Bel Air Blvd Suite 400,Mobile,AL,36606,City: Midsize,Yes,–,†,†,–,–,†,–,–
AL-052-0005,AL-052,Albert P Brewer High School,Morgan County,Morgan County,59 Eva Rd,Somerville,AL,35670,Rural: Distant,No,No,No,†,829,58.44,14.2,337,69
AL-101-0020,AL-101,Albertville High School,Albertville City,Marshall County,402 E McCord Ave,Albertville,AL,35950,Town: Distant,No,No,Yes,Yes,1370,73,18.8,426,–
AL-008-0010,AL-008,Alexandria High School,Calhoun County,Calhoun County,PO Box 180,Alexandria,AL,36250,Rural: Fringe,No,No,No,†,1012,61.07,16.6,416,59
AL-054-0020,AL-054,Aliceville High School,Pickens County,Pickens County,417 3rd St SE,Aliceville,AL,35442,Rural: Remote,No,No,Yes,Yes,272,14.76,18.4,235,20
AL-049-0136,AL-049,Alma Bryant High School,Mobile County,Mobile County,14001 Hurricane Blvd,Irvington,AL,36544,Rural: Fringe,No,No,Yes,Yes,1714,95.04,18,593,–
AL-104-0010,AL-104,Andalusia High School,Andalusia City,Covington County,701 3rd St,Andalusia,AL,36420,Town: Remote,No,No,Yes,Yes,489,29.47,16.6,225,29
AL-105-0010,AL-105,Anniston High School,Anniston City,Calhoun County,1301 Woodstock Ave,Anniston,AL,36207,City: Small,No,No,Yes,Yes,525,41,12.8,344,–
AL-106-0020,AL-106,Arab High School,Arab City,Marshall County,511 Arabian Dr NE,Arab,AL,35016,Rural: Fringe,No,No,No,†,782,50.6,15.5,151,57
AL-058-0010,AL-058,Ashville High School,St Clair County,St. Clair County,33215 US Highway 231,Ashville,AL,35953,Rural: Distant,No,No,No,†,461,24.52,18.8,242,50
AL-107-0030,AL-107,Athens High School,Athens City,Limestone County,PO Box 109,Athens,AL,35612,Town: Fringe,No,No,No,†,1005,57,17.6,408,44
AL-127-0010,AL-127,Austin High School,Decatur City,Morgan County,1625 Danville Rd SW,Decatur,AL,35601,City: Small,No,No,No,†,1447,89.25,16.2,729,67
