YEAR,STATE,AVG_SCORE,TEST_SUBJECT,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,$/STUDENT
2015,Alabama,266.5553185,Mathematics,734974.0,7360222,795238,4080167,2484817,10.014261728986332
2015,Alaska,280.4934562,Mathematics,130755.0,2920986,344111,2026555,550320,22.33938281518871
2015,Arizona,282.9194894,Mathematics,944978.0,8230507,1093834,3232013,3904660,8.709733983225007
2015,Arkansas,275.0647564,Mathematics,479682.0,5308625,581412,4075118,652095,11.066967282491317
2015,California,275.324573,Mathematics,6226523.0,78248042,7556365,42360470,28331207,12.56689198771128
2015,Colorado,285.5391887,Mathematics,872320.0,9648297,715254,4354525,4578518,11.06050188004402
2015,Connecticut,283.9566773,Mathematics,505366.0,11099837,444073,4353546,6302218,21.96395681545652
2015,Delaware,279.8102438,Mathematics,121845.0,2017075,137544,1142333,737198,16.5544339119373
2015,District of Columbia,263.0597763,Mathematics,46155.0,1382282,146366,0,1235916,29.948694615967934
2015,Florida,275.323818,Mathematics,2743641.0,26971491,3118041,10661586,13191864,9.830546707823654
2015,Georgia,278.7117968,Mathematics,1717805.0,18584666,1831221,8310872,8442573,10.81884497949418
2015,Hawaii,279.340145,Mathematics,182384.0,2703683,259390,2381547,62746,14.82412382665146
2015,Idaho,283.7423253,Mathematics,274131.0,2167967,232449,1381205,554313,7.908507246535415
2015,Illinois,281.9685673,Mathematics,2047123.0,32096832,2262192,11858968,17975672,15.678995351036551
2015,Indiana,287.1752011,Mathematics,1004215.0,12456571,929878,7676341,3850352,12.404286930587574
2015,Iowa,286.41622,Mathematics,505311.0,6714410,458457,3460798,2795155,13.287678281296072
2015,Kansas,283.8710963,Mathematics,496920.0,5991731,475273,3967809,1548649,12.057737664010304
2015,Kentucky,277.9472601,Mathematics,688475.0,7548871,848963,4176753,2523155,10.96462616652747
2015,Louisiana,268.4323551,Mathematics,661015.0,8448743,1235580,3480365,3732798,12.781469406896969
2015,Maine,284.875477,Mathematics,176176.0,2739589,183883,1060925,1494781,15.550296294614476
2015,Maryland,283.1490341,Mathematics,874108.0,14491642,819162,6267624,7404856,16.578777450841315
2015,Massachusetts,296.9085714,Mathematics,916130.0,16985185,778939,6808436,9397810,18.54014714068964
2015,Michigan,278.1686519,Mathematics,1345009.0,19025996,1582706,10510346,6932944,14.14562727833048
2015,Minnesota,294.147778,Mathematics,807044.0,11684249,629909,7567199,3487141,14.477833922314025
2015,Mississippi,270.5804793,Mathematics,490189.0,4592343,672366,2324855,1595122,9.36851500135662
2015,Missouri,280.8214257,Mathematics,892779.0,10623391,948600,4441091,5233700,11.899239341427162
2015,Montana,287.4640055,Mathematics,144447.0,1804339,214980,851068,738291,12.491356691381615
2015,Nebraska,286.4985635,Mathematics,312281.0,4248695,344382,1350116,2554197,13.60535863533164
2015,Nevada,275.1718688,Mathematics,438948.0,4345419,395630,2744606,1205183,9.89962136745127
2015,New Hampshire,294.4130187,Mathematics,183039.0,3093061,164905,1000063,1928093,16.89837138533318
2015,New Jersey,293.3659382,Mathematics,1339230.0,29335237,1154004,11423305,16757928,21.904554856148682
2015,New Mexico,270.8975344,Mathematics,326297.0,3789651,499789,2595682,694180,11.6141153611587
2015,New York,280.0892201,Mathematics,2631532.0,63712218,2869847,25900858,34941513,24.21107476557382
2015,North Carolina,281.3310911,Mathematics,1465031.0,13146934,1589570,8172685,3384679,8.973826492408692
2015,North Dakota,288.2441472,Mathematics,106061.0,1644533,158373,942772,543388,15.505539265139872
2015,Ohio,285.0619551,Mathematics,1600222.0,24378660,1676820,10169760,12532080,15.234548706366992
2015,Oklahoma,274.5859821,Mathematics,671715.0,6121188,688990,2993050,2439148,9.112775507469685
2015,Oregon,282.8148994,Mathematics,570376.0,7111710,577106,3678001,2856603,12.468459402218887
2015,Pennsylvania,283.6684154,Mathematics,1589429.0,29967185,1857885,10532452,17576848,18.854057022993793
2015,Rhode Island,281.4452196,Mathematics,134574.0,2367068,184718,908963,1273387,17.58934118031715
2015,South Carolina,275.8278662,Mathematics,737401.0,8759944,836137,4094766,3829041,11.879484839320805
2015,South Dakota,284.6414057,Mathematics,132836.0,1415149,206853,425614,782682,10.653354512330994
2015,Tennessee,278.2033807,Mathematics,994530.0,9455920,1122775,4385403,3947742,9.50792836817391
2015,Texas,283.7935403,Mathematics,5004866.0,55582029,5830972,20967429,28783628,11.105597832189712
2015,Utah,286.1169112,Mathematics,573913.0,4705084,400213,2487937,1816934,8.1982530453222
2015,Vermont,290.3551912,Mathematics,85184.0,1996795,105333,1546600,344862,23.440963091660407
2015,Virginia,287.7092987,Mathematics,1279867.0,15857524,1012205,6240349,8604970,12.38997802115376
2015,Washington,286.5131076,Mathematics,1072359.0,13709442,1036422,8293812,4379208,12.78437724679888
2015,West Virginia,271.4507088,Mathematics,279565.0,3478401,362959,1979466,1135976,12.442190546026863
2015,Wisconsin,289.0777492,Mathematics,861813.0,11637376,814385,5869265,4953726,13.503365579307808
2015,Wyoming,286.6665471,Mathematics,93867.0,1962874,120290,1116917,725667,20.911225457295963
2013,Alabama,269.1942806,Mathematics,744548.0,7197439,811739,3898347,2487353,9.666856938706436
2013,Alaska,281.5595728,Mathematics,131091.0,2545117,320938,1707449,516730,19.414887368316666
2013,Arizona,279.722268,Mathematics,941726.0,8164324,1178356,2934165,4051803,8.669532326812682
2013,Arkansas,277.9148025,Mathematics,477716.0,5067546,572096,3847045,648405,10.60786324929456
2013,California,275.9013507,Mathematics,6208733.0,68868516,7836263,35141208,25891045,11.092201259097468
2013,Colorado,289.6818001,Mathematics,851063.0,8826868,696266,3693829,4436773,10.371580012290512
2013,Connecticut,285.2439723,Mathematics,517812.0,10319361,434543,3870444,6014374,19.928779170818753
2013,Delaware,282.3382986,Mathematics,118685.0,1930466,151096,1124112,655258,16.265458988077686
2013,District of Columbia,265.2593657,Mathematics,44179.0,1300036,129874,0,1170162,29.426560130378686
2013,Florida,280.8558396,Mathematics,2680074.0,24681548,3027018,9455562,12198968,9.209278549771387
2013,Georgia,279.1791109,Mathematics,1682620.0,17459504,1805878,7580785,8072841,10.376379693573119
2013,Hawaii,281.4129223,Mathematics,184760.0,2331770,310778,1962923,58069,12.620534747780905
2013,Idaho,286.4138816,Mathematics,272070.0,2015534,237912,1278155,499467,7.408144962693425
2013,Illinois,284.8976472,Mathematics,2069823.0,30057886,2311235,10382540,17364111,14.52195960717414
2013,Indiana,287.7676538,Mathematics,1002772.0,12236713,980013,7503451,3753249,12.202886598349375
2013,Iowa,285.0701378,Mathematics,499489.0,6281345,459132,3118413,2703800,12.575542204132624
2013,Kansas,289.5182561,Mathematics,488590.0,5667223,420820,3193838,2052565,11.599138336846845
2013,Kentucky,280.6454425,Mathematics,685009.0,7216175,867735,3960822,2387618,10.534423635309901
2013,Louisiana,272.7609665,Mathematics,671156.0,8121179,1229248,3370399,3521532,12.10028517960057
2013,Maine,288.7311597,Mathematics,184682.0,2650346,196466,1029166,1424714,14.350862563758245
2013,Maryland,286.6413811,Mathematics,859252.0,13814727,828432,6093652,6892643,16.077619836788276
2013,Massachusetts,300.568235,Mathematics,920968.0,16114783,818054,6428534,8868195,17.4976578990801
2013,Michigan,280.1335971,Mathematics,1381167.0,18270327,1636324,9882361,6751642,13.228180951325944
2013,Minnesota,294.5929726,Mathematics,802454.0,10848720,646542,6792440,3409738,13.519429151079065
2013,Mississippi,271.1609673,Mathematics,492847.0,4444064,707522,2213501,1523041,9.017127019135756
2013,Missouri,282.9884579,Mathematics,897224.0,10103589,894168,4235564,4973857,11.260943755405561
2013,Montana,289.228453,Mathematics,142797.0,1671053,210593,788329,672131,11.702297667317941
2013,Nebraska,285.0613485,Mathematics,303242.0,3870164,366241,1217306,2286617,12.762625230014311
2013,Nevada,278.2866809,Mathematics,431776.0,4131800,392009,2556472,1183319,9.569313718224265
2013,New Hampshire,295.6651233,Mathematics,187703.0,2976317,163890,1020089,1792338,15.856523337400041
2013,New Jersey,296.0533511,Mathematics,1338657.0,28070096,1145079,10986132,15938885,20.968848629634028
2013,New Mexico,272.7618089,Mathematics,327209.0,3518621,519318,2401884,597419,10.753435877375011
2013,New York,281.8077878,Mathematics,2629805.0,59623918,3335657,23632698,32655563,22.672372286158097
2013,North Carolina,285.6453884,Mathematics,1468228.0,12729402,1579889,7891977,3257536,8.669908215890175
2013,North Dakota,290.5151113,Mathematics,101025.0,1405349,145905,685348,574096,13.91090324177184
2013,Ohio,289.5280968,Mathematics,1613718.0,22536516,1721213,8990516,11824787,13.96558506504854
2013,Oklahoma,275.506732,Mathematics,671445.0,5878111,715944,2890048,2272119,8.754419200381268
2013,Oregon,283.5245891,Mathematics,564006.0,6077498,471682,3041825,2563991,10.775591039811633
2013,Pennsylvania,289.6236516,Mathematics,1623694.0,28484645,2049113,9764558,16670974,17.543111571515322
2013,Rhode Island,284.0922122,Mathematics,136401.0,2282659,193393,841875,1247391,16.7349139669064
2013,South Carolina,279.8246086,Mathematics,722249.0,8254462,814137,3819285,3621040,11.428831331022957
2013,South Dakota,287.2703906,Mathematics,130296.0,1316613,194731,408009,713873,10.104784490698103
2013,Tennessee,277.7201273,Mathematics,992461.0,9008032,1165801,4097627,3744604,9.076459427624863
2013,Texas,288.1989676,Mathematics,4897523.0,49734537,5695947,18873046,25165544,10.155038986034368
2013,Utah,284.3314862,Mathematics,562315.0,4300793,409774,2235917,1655102,7.6483696860300725
2013,Vermont,295.4695624,Mathematics,89200.0,1817307,114697,1431621,270989,20.373396860986546
2013,Virginia,288.1429595,Mathematics,1264880.0,15322318,1108879,5874323,8339116,12.113653469103788
2013,Washington,289.9569887,Mathematics,1050901.0,12242231,1042200,7159428,4040603,11.649271434702221
2013,West Virginia,274.4301347,Mathematics,282310.0,3486366,383169,2027414,1075783,12.349424391626226
2013,Wisconsin,288.7457808,Mathematics,863737.0,11097447,827432,5587013,4683002,12.848178322799649
2013,Wyoming,288.1191373,Mathematics,91533.0,1695967,113501,881114,701352,18.528476068740236
2011,Alabama,269.0965158,Mathematics,746933.0,7376725,1077070,3965614,2334041,9.876019669769578
2011,Alaska,283.2727979,Mathematics,131704.0,2357828,420152,1416163,521513,17.90247828463828
2011,Arizona,279.0335017,Mathematics,946571.0,8429186,1245814,3054501,4128871,8.904969621930103
2011,Arkansas,279.088205,Mathematics,475551.0,5176362,827026,3701224,648112,10.884977636468014
2011,California,272.7698031,Mathematics,6202604.0,70953331,9990221,37752712,23210398,11.439281147079518
2011,Colorado,291.7426729,Mathematics,834832.0,8747471,969288,3493923,4284260,10.478121346570328
2011,Connecticut,286.9999447,Mathematics,530132.0,9783168,796156,3185501,5801511,18.454211403952222
2011,Delaware,282.7699664,Mathematics,119878.0,1759170,192182,1010026,556962,14.674669247067852
2011,District of Columbia,260.4668778,Mathematics,44199.0,1283071,155505,0,1127566,29.029412430145477
2011,Florida,277.8370352,Mathematics,2636404.0,26453693,4710376,9069119,12674198,10.03400578970446
2011,Georgia,278.4836192,Mathematics,1666039.0,18030043,2267161,7492489,8270393,10.822101403388515
2011,Hawaii,277.8362111,Mathematics,179601.0,2499513,347363,2088870,63280,13.917032755942339
2011,Idaho,286.6750633,Mathematics,265713.0,2089982,292602,1320153,477227,7.865561715083568
2011,Illinois,283.2281347,Mathematics,2072114.0,29507584,2894897,10030682,16582005,14.240328476135966
2011,Indiana,285.0029161,Mathematics,1023220.0,12125155,1024389,7340384,3760382,11.849998045386133
2011,Iowa,284.9208361,Mathematics,493493.0,6098470,596688,2537754,2964028,12.357763939914042
2011,Kansas,289.6192827,Mathematics,482692.0,5538869,612100,2945175,1981594,11.474955043796044
2011,Kentucky,281.6088097,Mathematics,672958.0,7104589,1164688,3704150,2235751,10.55725468751393
2011,Louisiana,272.8433339,Mathematics,665109.0,8022917,1497262,3269321,3256334,12.062559670670522
2011,Maine,288.7322976,Mathematics,186835.0,2654366,289290,1043281,1321795,14.207006181925228
2011,Maryland,287.9978023,Mathematics,851971.0,13443940,1255964,5508339,6679637,15.779809406658208
2011,Massachusetts,298.5124311,Mathematics,924903.0,15396681,1197383,5783240,8416058,16.646806205623726
2011,Michigan,280.176518,Mathematics,1455966.0,19374026,2525528,9845508,7002990,13.306647270609341
2011,Minnesota,294.9464228,Mathematics,798891.0,10912368,842906,6289912,3779550,13.65939533678562
2011,Mississippi,269.2356456,Mathematics,490526.0,4516742,1006465,2071467,1438810,9.20795635705345
2011,Missouri,281.9476462,Mathematics,896702.0,9915356,1344755,3828396,4742205,11.057582117581983
2011,Montana,292.9078043,Mathematics,141529.0,1631810,264517,713642,653651,11.529863137590176
2011,Nebraska,283.1970448,Mathematics,297659.0,3879388,571969,1153077,2154342,13.032994130867872
2011,Nevada,278.1131537,Mathematics,429610.0,4146577,447002,2359671,1339904,9.651956425595307
2011,New Hampshire,292.1087397,Mathematics,189275.0,2947007,184768,1061011,1701228,15.569974904239862
2011,New Jersey,294.1387714,Mathematics,1399409.0,26242376,1283994,9331426,15626956,18.75247050719268
2011,New Mexico,274.4547015,Mathematics,331373.0,3591330,636436,2355210,599684,10.837726670549502
2011,New York,280.4530261,Mathematics,2677412.0,57753776,5118477,23188002,29447297,21.570746676267976
